Raman Shift(cm-1),"x:25.7$\mu m$, y:19.6$\mu m$","x:20.3$\mu m$, y:31.9$\mu m$"
133.0,0.12036950443322428,0.22114130509532487
134.0,0.12621471301209503,0.22670269335637017
135.0,0.132898557116486,0.23222943469185522
136.0,0.13929891504766925,0.23683596940329346
137.0,0.1442419893237035,0.23955395194360082
138.0,0.14492406980933364,0.2382902233449544
139.0,0.14286640388623142,0.2347868886602381
140.0,0.13885913951983236,0.22989826640931446
141.0,0.13363802561843555,0.22439064965277755
142.0,0.12842295605672063,0.21950353378992174
143.0,0.12436009704951205,0.21620192411602854
144.0,0.1218069281151331,0.21459938919238608
145.0,0.12050075295202893,0.21426274420679173
146.0,0.12008229866636626,0.21471439864660857
147.0,0.1198542078700225,0.21512361223999252
148.0,0.11862607775226018,0.21417674909665838
149.0,0.11614238551356428,0.21165852671317256
150.0,0.11254567129632088,0.2077979815709794
151.0,0.10810919239119923,0.2028797555197661
152.0,0.10385949022437653,0.19796041605128528
153.0,0.10060125902931359,0.19396455796352052
154.0,0.09865557944361257,0.1913053900529921
155.0,0.09810003156340896,0.19011796328473812
156.0,0.09879858453520489,0.19036769622833177
157.0,0.10006623533550202,0.19149165821233655
158.0,0.10073111270049939,0.19230510776896723
159.0,0.1002874183150666,0.19226928193100615
160.0,0.09840955489216896,0.19100994150629638
161.0,0.09458036607177966,0.18803482507232297
162.0,0.09010257310861318,0.18440292344077372
163.0,0.08615050485513244,0.18117289994766939
164.0,0.08347618344185688,0.17903625221127947
165.0,0.08290907825281123,0.17874492985798693
166.0,0.08538865236996565,0.18114336164251316
167.0,0.09060398761694136,0.18597434817605876
168.0,0.09736713877166264,0.19210888434934845
169.0,0.10493471847458401,0.19881689591054938
170.0,0.11238300549543392,0.20518583916622074
171.0,0.1181310396901897,0.20951041732844042
172.0,0.12164745053737502,0.211181001695669
173.0,0.12325032971540856,0.21056750878126002
174.0,0.12328566585508677,0.20795870662830396
175.0,0.12223295443072682,0.20374173697023443
176.0,0.12104879522361665,0.1989783414143412
177.0,0.12023579832575777,0.19443127628401569
178.0,0.11989499055754584,0.1904414437485223
179.0,0.11993876220425247,0.18716256088591338
180.0,0.11995437121332084,0.18457976030091083
181.0,0.11919484347418549,0.18237172286913222
182.0,0.11734275152157948,0.18010729412750984
183.0,0.1143649511192257,0.17771573933198892
184.0,0.1102240470666753,0.17517433167128518
185.0,0.1056652200989837,0.1729545051154974
186.0,0.10192118340466098,0.17163137243087154
187.0,0.09958368448068629,0.17148531828342495
188.0,0.09903843190433631,0.17268957730095866
189.0,0.10074247074539593,0.1754441716208277
190.0,0.10451008700660919,0.1795044114247091
191.0,0.10936727852210981,0.18412031194022127
192.0,0.1142617988167441,0.1885686759045369
193.0,0.1184918402742722,0.19238953099589934
194.0,0.12123012541407045,0.19506199441850475
195.0,0.12111395453381271,0.1957935750584053
196.0,0.11915127109142443,0.19549511373557388
197.0,0.1159067891086047,0.19456364194858503
198.0,0.1118667790338196,0.19335342287391336
199.0,0.10787804621435697,0.19239562204330407
