Spectra #,Intensity_G,Shift_G,Intensity_D,Shift_D,Intensity_2D,Shift_2D,Intensity Ratio_2_1,Intensity Ratio_3_1
128,0.9268321899194468,1592.0,1.9503252196720275,1344.0,1.0560422487318082,2681.0,2.104291630010752,1.1394104134682583
129,0.944192716701311,1592.0,1.8411123042893578,1344.0,1.0223262360292067,2679.0,1.9499327538996272,1.082751664936442
130,0.9498997679597195,1590.0,1.7443541586583113,1341.0,1.026389977042311,2676.0,1.8363560214410755,1.0805245054927048
131,0.9571231293056586,1592.0,1.7989133128617074,1343.0,1.0576013913500262,2679.0,1.8795004088624652,1.1049794524527468
132,0.9476902902908196,1592.0,1.7232226813751101,1345.0,1.319226429840282,2683.0,1.8183394923739287,1.3920438389586627
133,0.927318264339462,1591.0,2.5445298168977386,1346.0,1.3891708302131007,2686.0,2.7439660305949354,1.4980518379012204
134,0.9429201531473806,1596.0,1.8053598426862028,1348.0,1.0420902155489413,2691.0,1.9146476365576426,1.1051733405745334
135,0.9322329309483799,1594.0,1.88978690284351,1347.0,1.0119931964960696,2685.0,2.0271617104546933,1.0855583008278284
136,0.9343183998783616,1589.0,2.0289788415927537,1341.0,1.0351790935837257,2676.0,2.1716139186137244,1.107951094314845
137,0.9350194760393717,1589.0,2.169920217207718,1341.0,1.076813469842146,2675.0,2.3207219451719174,1.1516481714406597
138,0.9240295655183657,1590.0,2.5403870055523208,1344.0,1.2816452037374317,2682.0,2.749248617523623,1.3870175279710335
139,0.9338810353618162,1597.0,1.8961780327788396,1348.0,1.0664533313107742,2689.0,2.030427817868898,1.1419584410958674
140,0.9422347186245938,1596.0,1.4888474941100251,1347.0,1.0310442604726417,2687.0,1.580123789413467,1.0942541599164226
141,0.9484262793139578,1593.0,1.6914515300999982,1346.0,1.154552334073531,2687.0,1.7834296317933178,1.2173348200649545
142,0.9344579563159157,1595.0,1.6264552879666967,1347.0,0.9709673823388418,2688.0,1.7405334043908927,1.039070164447916
143,0.9306556831125372,1596.0,1.855507306463306,1347.0,0.8749556390871208,2688.0,1.9937634724989193,0.9401496761518395
144,0.9249199402778191,1596.0,2.2838136246652283,1347.0,1.0463987262269725,2686.0,2.469201414318343,1.1313397848387448
145,0.9373440478283479,1595.0,2.0993715491548914,1347.0,1.1122552122891225,2689.0,2.2397022246193865,1.1866029499691295
146,0.96222067269828,1595.0,1.7483134713440711,1347.0,1.1291545368244058,2688.0,1.8169568800069662,1.1734881289320112
147,0.9526038116886346,1593.0,1.5995900130139242,1346.0,1.2181497597575155,2687.0,1.6791765825274292,1.278758015463071
148,0.9504842695393941,1593.0,1.6095057093742204,1345.0,1.2661052467176714,2683.0,1.6933533367724107,1.3320633358101
149,0.9603750673606809,1593.0,1.2136844909275666,1347.0,1.3227404197790213,2692.0,1.2637609327604005,1.3773164930387032
150,0.9710644917596951,1588.0,1.2154010145986243,1344.0,0.8543000393535336,2685.0,1.2516171942361518,0.8797562330854368
151,0.9608842370152838,1593.0,1.184790728871628,1346.0,0.8613102448783291,2690.0,1.2330212977078765,0.8963725407274311
152,0.9524656717471919,1594.0,1.3369311359185618,1348.0,1.0388459426282897,2692.0,1.4036528303073759,1.0906912169576073
153,0.9551865512165008,1596.0,1.682536230887699,1348.0,1.0667969349836581,2689.0,1.7614739536950814,1.116846686780727
154,0.9481828982789763,1595.0,1.770603604496406,1346.0,1.0084562344361754,2686.0,1.8673650492011462,1.0635672044566504
155,0.93053847133605,1593.0,1.9775059480436066,1345.0,1.001109211408249,2682.0,2.1251200342145338,1.0758386055451041
156,0.9328047882457324,1589.0,2.3865423714292735,1344.0,1.325164102129075,2679.0,2.5584585344137163,1.420623177354426
157,0.9249239035910977,1591.0,2.106784293615164,1343.0,1.193457587758072,2680.0,2.277792027468844,1.2903305700332415
158,0.9392238960041749,1593.0,1.7992612358221172,1345.0,0.9838512134978545,2684.0,1.9156893723390949,1.0475151001625296
159,0.941911981444615,1595.0,1.8038574391740745,1347.0,1.058883273490007,2689.0,1.91510191473251,1.1241849497083503
